"id","product_uid","product_title","search_term","relevance"
800,100138,"Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)","t8 light",3
801,100138,"Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)","violet flourescent light",1.67
811,100140,"Honda GCV190 21 in. Variable Speed Self-Propelled Walk-Behind Gas Mower","lawn mower- electic",2.33
812,100140,"Honda GCV190 21 in. Variable Speed Self-Propelled Walk-Behind Gas Mower","Lawnmowers",3
817,100141,"ClosetMaid 36 in. Laminated 2-Door Raised Panel Storage Cabinet in White","closetmade",2
818,100141,"ClosetMaid 36 in. Laminated 2-Door Raised Panel Storage Cabinet in White","closetmaid",2.67
819,100141,"ClosetMaid 36 in. Laminated 2-Door Raised Panel Storage Cabinet in White","closetmaid pantry",1.67
824,100141,"ClosetMaid 36 in. Laminated 2-Door Raised Panel Storage Cabinet in White","storage cabinets",3
826,100141,"ClosetMaid 36 in. Laminated 2-Door Raised Panel Storage Cabinet in White","white cabinet",3
828,100143,"Frigidaire 4.2 cu. ft. Gas Range in Stainless Steel","24 stainless gas range",2.33
831,100143,"Frigidaire 4.2 cu. ft. Gas Range in Stainless Steel","frigidaire gas range",3
832,100143,"Frigidaire 4.2 cu. ft. Gas Range in Stainless Steel","gas range",3
837,100143,"Frigidaire 4.2 cu. ft. Gas Range in Stainless Steel","stainless steel gas stove",3
843,100144,"Aquatic Gelcoat Repair Kit in White","fiberglass repair kit",2.75
844,100144,"Aquatic Gelcoat Repair Kit in White","fiberglass repir kit",2
847,100145,"32 sq. ft. Ultra True Bead Hardboard Paneling","4*8 beadboard paneling",2
852,100146,"Armstrong 12 in. x 12 in. Peel and Stick Slate Sand &amp; Sky Vinyl Tile (45 sq. ft. / case)","6x6 p sand tile",2
857,100146,"Armstrong 12 in. x 12 in. Peel and Stick Slate Sand &amp; Sky Vinyl Tile (45 sq. ft. / case)","vinyl tile peel and stick",3
862,100148,"Everbilt R-Value 6 Reflective Barrier Water Heater Blanket","water heater blanket",3
867,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","funnel 6 inch",1
868,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","greecianmarble floor tile",1.67
869,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","join compound wall tile",2
872,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","lunada bay tile 3' x 6' wall tile",2
876,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","Montagna rustic",2
878,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","montagnia contina floor tile",2.33
881,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","porcelain tile sealer",2
882,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","porcelin floor tile 6x24",2
885,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","tiles floor",2.67
886,100149,"MARAZZI Montagna Gunstock 6 in. x 24 in. Glazed Porcelain Floor and Wall Tile (14.53 sq. ft. / case)","towel rings that look like wood",1.67
893,100150,"4 in. x 4 in. x 4-1/2 ft. Pressure-Treated Pine Double V-Grooved Deck Post","4x4 deck post",2.33
894,100150,"4 in. x 4 in. x 4-1/2 ft. Pressure-Treated Pine Double V-Grooved Deck Post","4x4 lumber",3
895,100150,"4 in. x 4 in. x 4-1/2 ft. Pressure-Treated Pine Double V-Grooved Deck Post","4x4 lumber not treated",2.67
898,100150,"4 in. x 4 in. x 4-1/2 ft. Pressure-Treated Pine Double V-Grooved Deck Post","post",2.33
899,100150,"4 in. x 4 in. x 4-1/2 ft. Pressure-Treated Pine Double V-Grooved Deck Post","pressure treated posts for decks",2
902,100151,"Commercial Electric 7 in. White LED Easy Light Ceiling Flushmount Daylight","closet light fixture",3
908,100152,"Cub Cadet 42 in. and 46 in. LTX and XT1 Bagger","cub cadet 42",3
909,100152,"Cub Cadet 42 in. and 46 in. LTX and XT1 Bagger","cub cadet battery72517063",2
910,100152,"Cub Cadet 42 in. and 46 in. LTX and XT1 Bagger","cub cadet lawn mowers",2
912,100152,"Cub Cadet 42 in. and 46 in. LTX and XT1 Bagger","foof leaf broom",1
918,100152,"Cub Cadet 42 in. and 46 in. LTX and XT1 Bagger","lawn tractor",1
922,100153,"Leviton 15 Amp 3-Way Toggle Switch - White","3 way",2.67
923,100153,"Leviton 15 Amp 3-Way Toggle Switch - White","3 WAY TOGGLE SWITCH",3
928,100153,"Leviton 15 Amp 3-Way Toggle Switch - White","three wayy",2
929,100154,"Reddy Heater 26000 - 30000 BTU Infrared Dual-Fuel Wall Heater with Blower","dual wall ducts",1.33
934,100154,"Reddy Heater 26000 - 30000 BTU Infrared Dual-Fuel Wall Heater with Blower","incide wall heater",2.67
940,100155,"Backyard X-Scapes 1 in. D x 6 ft. H x 8 ft. L Stained Mahogany Rolled Bamboo Fence","6ft h bamboo fencing",3
944,100157,"Fiskars Bypass Lopper","hedge shears",3
954,100158,"KOHLER Memoirs Pedestal Combo Bathroom Sink with Classic Design in White","kohler retro pedestal sink combos",2.67
958,100158,"KOHLER Memoirs Pedestal Combo Bathroom Sink with Classic Design in White","pedestal sink combo",3
962,100158,"KOHLER Memoirs Pedestal Combo Bathroom Sink with Classic Design in White","toilet sink",3
963,100158,"KOHLER Memoirs Pedestal Combo Bathroom Sink with Classic Design in White","westminster pedistal combo",2.33
969,100160,"DEWALT 20-Volt Max Lithium-Ion Cordless Combo Kit (9-Tool)","dewalt combo kit",3
974,100161,"Aquasana Whole House Water Filtration System","omnifilter",2.33
978,100161,"Aquasana Whole House Water Filtration System","water softners",2.33
984,100163,"Avanti Pro 4 in. Turbo Diamond Blade","lenox diamond blades",2
991,100165,"CedarSafe Aromatic Eastern Red Cedar Closet Liner Tongue and Groove Planks 35 sq. ft.","cedar plank",2.67
1000,100165,"CedarSafe Aromatic Eastern Red Cedar Closet Liner Tongue and Groove Planks 35 sq. ft.","wooden planks",3
